Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,155.05375,-64.371875,0.0,bottom
C2,1uF,C_0402_1005Metric,152.06375,-61.676875,270.0,bottom
C3,20pF,C_0402_1005Metric,126.5,-76.3,180.0,bottom
C4,20pF,C_0402_1005Metric,126.5,-70.6,0.0,bottom
C5,100nF,C_0402_1005Metric,145.13,-74.9,180.0,bottom
C6,1uF,C_0402_1005Metric,144.2,-68.2,180.0,bottom
C7,100nF,C_0402_1005Metric,126.5,-69.5,0.0,bottom
C8,100nF,C_0402_1005Metric,144.2,-72.83375,180.0,bottom
C9,10uF,C_0402_1005Metric,150.96375,-61.676875,270.0,bottom
C10,1uF,C_0402_1005Metric,144.2,-67.18,180.0,bottom
C11,100nF,C_0402_1005Metric,134.73,-65.18,90.0,bottom
C12,100nF,C_0402_1005Metric,144.2,-71.80875,180.0,bottom
C13,100nF,C_0402_1005Metric,134.73125,-77.1,270.0,bottom
C14,100nF,C_0402_1005Metric,126.5,-68.4,0.0,bottom
C15,100nF,C_0402_1005Metric,139.2,-65.18,90.0,bottom
C16,100nF,C_0402_1005Metric,140.3,-65.18,90.0,bottom
C17,100nF,C_0402_1005Metric,139.4,-77.1,270.0,bottom
F1,500mA,Fuse_0402_1005Metric,155.05375,-65.7,0.0,bottom
K1,Hall_Sensor,SOT-23,114.3,-100.0125,-90.0,bottom
K2,Hall_Sensor,SOT-23,133.35,-100.0125,-90.0,bottom
K3,Hall_Sensor,SOT-23,152.4,-100.0125,-90.0,bottom
R1,1k,R_0402_1005Metric,130.01375,-69.41,180.0,bottom
R2,27,R_0603_1608Metric,148.64,-70.8,0.0,bottom
R3,27,R_0603_1608Metric,148.64,-69.2,0.0,bottom
R4,1k,R_0402_1005Metric,154.9,-77.01,90.0,bottom
R5,5.1k,R_0402_1005Metric,155.96375,-67.4,0.0,bottom
R6,5.1k,R_0402_1005Metric,155.96375,-72.6,0.0,bottom
R7,1k,R_0402_1005Metric,129.6,-72.23,90.0,bottom
U1,RP2040,RP2040-QFN-56,135.73125,-71.20375,90.0,bottom
U2,SRV05-4,SOT-23-6-routable,154.57,-70.0,-90.0,bottom
U3,XC6206PxxxMR,SOT-23,154.56375,-62.145625,-180.0,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,148.25125,-78.4,-90.0,bottom
USB1,USB_C_12P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,165.16,-70.0,270.0,bottom
Y1,12MHZ,Crystal_SMD_3225-4Pin_3.2x2.5mm,127.3,-73.4,90.0,bottom
